LitDatabase,,CAS,Individual_ID,reported_concentration,,type_of_numeric_quantity,range_min/range_max,,Sample matrix,tissue,remark_MATRIX,Sample preparation,analytical_method,storage_temp_c/Packing material of samples,lod/loq,Species,Suggested Name ,latin_name,kingdom,class_phyl,Order,life_stage,sex,x_of_subsamples,x_of_replicates,start_of_sampling_day/start_of_sampling_month/start_of_sampling_year,Biota weight,Biota size/Biota length/Biota weight,,health_status,,,,,,trophic_level_as_described_in_paper/diet_as_described_in_paper,δ13C vs. VPDB ,d15N vs. Air N2,remark_Matrix of isotope parameters measured,,,Cause of death,name_of_country,region_city,latitude_1/longitude_1,habitat_type,,,,temperature,remark_2_Local soil/sediment/vegetation/mice concentration of metal element,Sample matrix,concentration_units,SD,reported_distance_to_industry,title/first_author/year/doi,,
,Ca,7440-70-2,NS00082625,422.1317602,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,193483030670837,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,497.8890976,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,494081093838341,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,494.6126654,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,572824175653175,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,531.8711719,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,6745229240257475,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,644.1107886,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,8314945354766086,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,436.299732,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 3,045498446488129,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,769.8035833,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,9421896477496117,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,847.1435124,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 3,3402123565141157,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,234.0443954,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 4,261154906355463,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,192.9212721,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 4,260538767378554,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,179.7539169,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 4,7742634241011235,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,134.2078063,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 5,277002773698809,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,65.56418494,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 6,27178169358786,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,60.80203691,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 6,035124215335204,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,49.88307489,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 6,024214047109943,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,48.0373396,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 5,520422752917536,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,43.102546,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 7,020811328369872,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,34.21452589,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 6,763099930442847,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Zn,7440-66-6,NS00099584,30.12640904,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage coloration: 6,2693021099003,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
